filename,x_percent,y_percent
1761227518655679000.png,0.4750,0.4481
1761227565787891000.png,0.4630,0.5306
1761227638919431000.png,0.4625,0.4528
1761227600220389000.png,0.4849,0.4722
1761227623619803000.png,0.4870,0.4528
1761227533588709000.png,0.4823,0.4463
1761227552454901000.png,0.4828,0.4907
1761227635652838000.png,0.4844,0.4481
1761227574887661000.png,0.4870,0.5074
1761227610953455000.png,0.4854,0.5630
1761227574554380000.png,0.4854,0.5130
1761227627519721000.png,0.4880,0.4481
1761227640219406000.png,0.5000,0.4528
1761227658418935000.png,0.4849,0.4435
1761227563821281000.png,0.4828,0.5222
1761227512789225000.png,0.4901,0.4417
1761227559588080000.png,0.4818,0.5194
1761227619419919000.png,0.4849,0.4750
1761227578120884000.png,0.4839,0.4769
1761227576487609000.png,0.4849,0.4870
1761227543655067000.png,0.4911,0.4519
1761227641819327000.png,0.4906,0.4481
1761227648985828000.png,0.4786,0.4463
1761227645419280000.png,0.5089,0.4546
1761227563487972000.png,0.4823,0.5231
1761227593087208000.png,0.4880,0.4435
1761227644419303000.png,0.4484,0.4630
1761227582987511000.png,0.4880,0.4454
1761227598587124000.png,0.4839,0.4500
1761227596987118000.png,0.4896,0.4463
1761227567721175000.png,0.4724,0.5231
1761227626219730000.png,0.4870,0.4417
1761227575521000000.png,0.4771,0.5019
1761227547555019000.png,0.4813,0.4565
1761227563187959000.png,0.4818,0.5222
1761227649619171000.png,0.4807,0.4491
1761227537821946000.png,0.4849,0.4491
1761227579754222000.png,0.4870,0.4620
1761227570654480000.png,0.4729,0.5444
1761227648652495000.png,0.4990,0.4500
1761227577487640000.png,0.4813,0.4815
1761227519622382000.png,0.4979,0.4472
1761227656785668000.png,0.4839,0.4444
1761227567087862000.png,0.4839,0.5296
1761227554054868000.png,0.4797,0.5352
1761227548854935000.png,0.4833,0.4463
1761227591453916000.png,0.4906,0.4472
1761227538155270000.png,0.4854,0.4491
1761227515389162000.png,0.4880,0.4444
1761227639886117000.png,0.4969,0.4500
1761227558621396000.png,0.4792,0.5167
1761227530355436000.png,0.4776,0.4463
1761227630119592000.png,0.4865,0.4472
1761227552121556000.png,0.4813,0.4824
1761227592087263000.png,0.4870,0.4481
1761227623319805000.png,0.4849,0.4556
1761227535221979000.png,0.4849,0.4556
1761227655152362000.png,0.4750,0.4463
1761227658085642000.png,0.4865,0.4417
1761227618119933000.png,0.4844,0.4833
1761227603486967000.png,0.4865,0.5037
1761227583987464000.png,0.4828,0.4472
1761227628819664000.png,0.4896,0.4463
1761227609653471000.png,0.4839,0.5694
1761227561554669000.png,0.4823,0.5241
1761227566754536000.png,0.4964,0.5324
1761227663285479000.png,0.4906,0.4444
1761227667185381000.png,0.4948,0.4454
1761227536521903000.png,0.4839,0.4463
1761227537155271000.png,0.4839,0.4463
1761227557321461000.png,0.4823,0.5157
1761227535555343000.png,0.4818,0.4500
1761227646719239000.png,0.5016,0.4546
1761227530022151000.png,0.4833,0.4519
1761227544321792000.png,0.4776,0.4491
1761227606386885000.png,0.4844,0.5435
1761227662952153000.png,0.4885,0.4426
1761227598920423000.png,0.4984,0.4556
1761227559921363000.png,0.4833,0.5194
1761227508555981000.png,0.4885,0.4407
1761227613886666000.png,0.4818,0.5139
1761227522222307000.png,0.4630,0.4519
1761227606720202000.png,0.4833,0.5398
1761227611286796000.png,0.4828,0.5565
1761227550488275000.png,0.4807,0.4583
1761227557654786000.png,0.4807,0.5194
1761227523855613000.png,0.4880,0.4481
1761227509855974000.png,0.4875,0.4407
1761227584287470000.png,0.4854,0.4444
1761227639552751000.png,0.4938,0.4444
1761227581054188000.png,0.4807,0.4537
1761227664252112000.png,0.4885,0.4481
1761227616819985000.png,0.4807,0.4907
1761227613220044000.png,0.4854,0.5185
1761227583654107000.png,0.4839,0.4472
1761227570987719000.png,0.4755,0.5472
1761227657418977000.png,0.4958,0.4472
1761227585920759000.png,0.4885,0.4491
1761227529688806000.png,0.5026,0.4546
1761227602820309000.png,0.4854,0.4963
1761227594053867000.png,0.4901,0.4444
1761227641519366000.png,0.4844,0.4435
1761227555054842000.png,0.4833,0.5139
1761227542355141000.png,0.4938,0.4491
1761227640519397000.png,0.4979,0.4500
1761227585587412000.png,0.4870,0.4454
1761227538788577000.png,0.4833,0.4472
1761227516689138000.png,0.4880,0.4463
1761227666518726000.png,0.4724,0.4444
1761227535855330000.png,0.4854,0.4463
1761227582687520000.png,0.4839,0.4454
1761227652219103000.png,0.4781,0.4426
1761227548554992000.png,0.4828,0.4537
1761227539755224000.png,0.4823,0.4528
1761227526755539000.png,0.4870,0.4509
1761227581387518000.png,0.4922,0.4519
1761227605086868000.png,0.4854,0.5231
1761227665552082000.png,0.4891,0.4444
1761227556988159000.png,0.4844,0.5046
1761227615486698000.png,0.4990,0.4907
1761227665218753000.png,0.4865,0.4444
1761227600886971000.png,0.4891,0.4806
1761227660018883000.png,0.4880,0.4463
1761227669785325000.png,0.4844,0.4463
1761227620053240000.png,0.4859,0.4694
1761227577154294000.png,0.4813,0.4787
1761227666218759000.png,0.4865,0.4454
1761227518955718000.png,0.4776,0.4463
1761227514089197000.png,0.4896,0.4454
1761227635019460000.png,0.4880,0.4528
1761227571621088000.png,0.4865,0.5620
1761227642152652000.png,0.4859,0.4444
1761227612253432000.png,0.4854,0.5407
1761227617453296000.png,0.4901,0.4741
1761227575187684000.png,0.4859,0.4963
1761227519289052000.png,0.4964,0.4463
1761227592753838000.png,0.4901,0.4435
1761227623953148000.png,0.4870,0.4537
1761227524488909000.png,0.4849,0.4500
1761227655818933000.png,0.4922,0.4463
1761227608686876000.png,0.4807,0.5620
1761227515722482000.png,0.4891,0.4398
1761227551454966000.png,0.4828,0.4750
1761227531322078000.png,0.4943,0.4481
1761227560888036000.png,0.4844,0.5167
1761227533255369000.png,0.4901,0.4528
1761227558954672000.png,0.4813,0.5204
1761227648019221000.png,0.4938,0.4491
1761227521255694000.png,0.5083,0.4537
1761227637919442000.png,0.4896,0.4407
1761227564787930000.png,0.4813,0.5167
1761227580720855000.png,0.4745,0.4583
1761227593720538000.png,0.4880,0.4435
1761227529355476000.png,0.4943,0.4463
1761227633052915000.png,0.4870,0.4463
1761227542055179000.png,0.4974,0.4500
1761227634352893000.png,0.4901,0.4278
1761227604453603000.png,0.4854,0.5194
1761227582354167000.png,0.4792,0.4472
1761227607053546000.png,0.4781,0.5435
1761227559254743000.png,0.4823,0.5167
1761227534255334000.png,0.4849,0.4500
1761227531955410000.png,0.4688,0.4519
1761227584954086000.png,0.4833,0.4426
1761227651252458000.png,0.4906,0.4472
1761227546921704000.png,0.4828,0.4537
1761227572587672000.png,0.4797,0.5435
1761227545955085000.png,0.4802,0.4611
1761227536188630000.png,0.4865,0.4491
1761227625919734000.png,0.4859,0.4463
1761227609986824000.png,0.4813,0.5685
1761227598287079000.png,0.4714,0.4519
1761227653519092000.png,0.4875,0.4463
1761227530988763000.png,0.4901,0.4481
1761227514422518000.png,0.4901,0.4444
1761227532288735000.png,0.4719,0.4463
1761227640852709000.png,0.4771,0.4463
1761227569987825000.png,0.4911,0.5426
1761227612586751000.png,0.4839,0.5315
1761227516355854000.png,0.5005,0.4500
1761227510522578000.png,0.4865,0.4398
1761227627853054000.png,0.4839,0.4435
1761227572287750000.png,0.4760,0.5463
1761227568054460000.png,0.4823,0.5241
1761227638586091000.png,0.4755,0.4426
1761227557954782000.png,0.4818,0.5148
1761227531655410000.png,0.4875,0.4472
1761227568687825000.png,0.4943,0.5250
1761227543021791000.png,0.4745,0.4491
1761227509555967000.png,0.4896,0.4463
1761227632719585000.png,0.4891,0.4463
1761227571287799000.png,0.4839,0.5593
1761227569354461000.png,0.4698,0.5398
1761227564154545000.png,0.4807,0.5194
1761227550821622000.png,0.4828,0.4657
1761227543988437000.png,0.4870,0.4472
1761227661985530000.png,0.4875,0.4444
1761227601187046000.png,0.4849,0.4806
1761227525455559000.png,0.4891,0.4444
1761227594687200000.png,0.4891,0.4444
1761227546588372000.png,0.4828,0.4556
1761227645085929000.png,0.5073,0.4546
1761227631119564000.png,0.4880,0.4454
1761227648319202000.png,0.5073,0.4537
1761227646052521000.png,0.4641,0.4463
1761227668485346000.png,0.4797,0.4389
1761227624919780000.png,0.4865,0.4454
1761227614853362000.png,0.4641,0.5352
1761227522555661000.png,0.4813,0.4454
1761227617119995000.png,0.4891,0.4815
1761227595687134000.png,0.4885,0.4426
1761227655485680000.png,0.4865,0.4472
1761227512455823000.png,0.4875,0.4454
1761227615820031000.png,0.4990,0.4722
1761227511489260000.png,0.4875,0.4454
1761227507522672000.png,0.4880,0.4435
1761227620719876000.png,0.4859,0.4667
1761227590487367000.png,0.4875,0.4454
1761227604786941000.png,0.4839,0.5167
1761227578454290000.png,0.4823,0.4657
1761227597287117000.png,0.4896,0.4491
1761227631419561000.png,0.4849,0.4481
1761227561888013000.png,0.4823,0.5204
1761227651919087000.png,0.4938,0.4481
1761227583320749000.png,0.4844,0.4454
1761227544955075000.png,0.4828,0.4593
1761227524155536000.png,0.4839,0.4463
1761227605420241000.png,0.4844,0.5278
1761227580087551000.png,0.4922,0.4565
1761227645719278000.png,0.4719,0.4472
1761227629153027000.png,0.4865,0.4435
1761227517655690000.png,0.4891,0.4454
1761227600553737000.png,0.4927,0.4759
1761227599887088000.png,0.4792,0.4639
1761227547888292000.png,0.4813,0.4509
1761227595353752000.png,0.4880,0.4426
1761227653219079000.png,0.5016,0.4454
1761227511155929000.png,0.4896,0.4417
1761227513455813000.png,0.4891,0.4435
1761227516055733000.png,0.4958,0.4463
1761227566421247000.png,0.4854,0.5222
1761227601853685000.png,0.4854,0.4852
1761227656452351000.png,0.4828,0.4454
1761227541721858000.png,0.4849,0.4463
1761227586887395000.png,0.4766,0.4454
1761227633386248000.png,0.4859,0.4500
1761227522855607000.png,0.4974,0.4500
1761227608353429000.png,0.4833,0.5602
1761227553088233000.png,0.4818,0.4981
1761227538455255000.png,0.4839,0.4491
1761227536855290000.png,0.4859,0.4472
1761227664918805000.png,0.4885,0.4454
1761227578787596000.png,0.4797,0.4648
1761227627219751000.png,0.4865,0.4472
1761227624286504000.png,0.4839,0.4481
1761227556654831000.png,0.4813,0.5093
1761227601520345000.png,0.4828,0.4815
1761227633719542000.png,0.4865,0.4491
1761227607686848000.png,0.4865,0.5611
1761227582020786000.png,0.4839,0.4463
1761227533921947000.png,0.4786,0.4481
1761227551788238000.png,0.4823,0.4787
1761227579420886000.png,0.4823,0.4593
1761227547255042000.png,0.4823,0.4574
1761227622019865000.png,0.4865,0.4583
1761227608020096000.png,0.4849,0.5611
1761227525788796000.png,0.4870,0.4472
1761227586254075000.png,0.4870,0.4472
1761227659718887000.png,0.4833,0.4463
1761227573587717000.png,0.4792,0.5259
1761227635319492000.png,0.4797,0.4519
1761227625586404000.png,0.4880,0.4463
1761227574221031000.png,0.4792,0.5167
1761227650285796000.png,0.4901,0.4435
1761227534555332000.png,0.4896,0.4472
1761227590153913000.png,0.4896,0.4417
1761227584620778000.png,0.4833,0.4454
1761227594387204000.png,0.4849,0.4426
1761227611586769000.png,0.4833,0.5500
1761227634686189000.png,0.4927,0.4574
1761227560554697000.png,0.4813,0.5194
1761227662318842000.png,0.4870,0.4435
1761227668818688000.png,0.4885,0.4426
1761227520255699000.png,0.4786,0.4444
1761227595020516000.png,0.4906,0.4426
1761227570321144000.png,0.4839,0.5500
1761227647685900000.png,0.4583,0.4509
1761227528722137000.png,0.4880,0.4454
1761227512155881000.png,0.4891,0.4454
1761227589187338000.png,0.4870,0.4435
1761227651585755000.png,0.4964,0.4472
1761227596320449000.png,0.4859,0.4444
1761227658718944000.png,0.4865,0.4435
1761227619086576000.png,0.4875,0.4741
1761227586587411000.png,0.4776,0.4435
1761227597620447000.png,0.4880,0.4491
1761227587554042000.png,0.5000,0.4269
1761227652552415000.png,0.4781,0.4417
1761227554388173000.png,0.4786,0.5296
1761227558288088000.png,0.4823,0.5176
1761227523188966000.png,0.4984,0.4472
1761227664585459000.png,0.4870,0.4435
1761227521555653000.png,0.4932,0.4454
1761227520922363000.png,0.4964,0.4481
1761227564487942000.png,0.4813,0.5204
1761227603786942000.png,0.4849,0.5065
1761227589820640000.png,0.4880,0.4444
1761227548221628000.png,0.4833,0.4500
1761227560254700000.png,0.4813,0.5185
1761227642819327000.png,0.4781,0.4426
1761227540421877000.png,0.4839,0.4463
1761227644119291000.png,0.4583,0.4500
1761227626886376000.png,0.4891,0.4426
1761227565121258000.png,0.4922,0.5222
1761227607386869000.png,0.4844,0.5528
1761227632419563000.png,0.4844,0.4481
1761227632086275000.png,0.4870,0.4472
1761227649319120000.png,0.4906,0.4472
1761227610286823000.png,0.4906,0.4472
1761227596653813000.png,0.4880,0.4444
1761227604120316000.png,0.4865,0.5111
1761227663918806000.png,0.4865,0.4472
1761227550154936000.png,0.4807,0.4574
1761227581687450000.png,0.4906,0.4500
1761227572921062000.png,0.4818,0.5454
1761227509222633000.png,0.4891,0.4454
1761227554721532000.png,0.4818,0.5167
1761227668152049000.png,0.4766,0.4481
1761227568387848000.png,0.4901,0.5250
1761227546255033000.png,0.4797,0.4611
1761227539455230000.png,0.4833,0.4472
1761227643452637000.png,0.5109,0.4593
1761227614186720000.png,0.4797,0.5139
1761227602186981000.png,0.4891,0.4815
1761227639219398000.png,0.4776,0.4444
1761227628186339000.png,0.4844,0.4435
1761227613553373000.png,0.4844,0.5130
1761227573254399000.png,0.4807,0.5389
1761227621686526000.png,0.4880,0.4565
1761227638252765000.png,0.4828,0.4472
1761227566087895000.png,0.4677,0.5185
1761227608986817000.png,0.4875,0.5676
1761227636952839000.png,0.4807,0.4472
1761227603153644000.png,0.4854,0.5009
1761227555354841000.png,0.4818,0.5111
1761227621019883000.png,0.4844,0.4620
1761227650619122000.png,0.4823,0.4454
1761227628519664000.png,0.4880,0.4417
1761227629486351000.png,0.4839,0.4444
1761227519955712000.png,0.4891,0.4444
1761227663618833000.png,0.4859,0.4454
1761227587887351000.png,0.4833,0.4481
1761227636619464000.png,0.4823,0.4454
1761227587220696000.png,0.4880,0.4454
1761227541055173000.png,0.4828,0.4454
1761227659385589000.png,0.4880,0.4454
1761227637619472000.png,0.4943,0.4454
1761227585287456000.png,0.4859,0.4407
1761227625253130000.png,0.4875,0.4454
1761227576187502000.png,0.4818,0.4880
1761227524822246000.png,0.4870,0.4472
1761227517355708000.png,0.4870,0.4472
1761227589487356000.png,0.4844,0.4435
1761227520589017000.png,0.4844,0.4472
1761227529055481000.png,0.4859,0.4491
1761227635986171000.png,0.4844,0.4454
1761227521889047000.png,0.4734,0.4472
1761227616153305000.png,0.4854,0.4852
1761227617786598000.png,0.4870,0.4806
1761227527422174000.png,0.4859,0.4454
1761227654819022000.png,0.4885,0.4472
1761227588187411000.png,0.4818,0.4519
1761227588520652000.png,0.4859,0.4454
1761227667518710000.png,0.4938,0.4472
1761227527755503000.png,0.4880,0.4472
1761227556354795000.png,0.4823,0.5139
1761227653852391000.png,0.4833,0.4463
1761227569687803000.png,0.4823,0.5352
1761227575854355000.png,0.4755,0.4917
1761227636319501000.png,0.4865,0.4435
1761227540088558000.png,0.4828,0.4472
1761227630452972000.png,0.4865,0.4435
1761227650919187000.png,0.4646,0.4500
1761227626553069000.png,0.4870,0.4407
1761227571954436000.png,0.4792,0.5537
1761227610620133000.png,0.4870,0.5574
1761227567387864000.png,0.4714,0.5157
1761227517989090000.png,0.4927,0.4463
1761227539121899000.png,0.4839,0.4472
1761227629819640000.png,0.4828,0.4435
1761227549521637000.png,0.4828,0.4500
1761227562854625000.png,0.4828,0.5176
1761227555688140000.png,0.4818,0.5120
1761227599587078000.png,0.4839,0.4639
1761227622653164000.png,0.4875,0.4574
1761227669451977000.png,0.4870,0.4435
1761227659052280000.png,0.4901,0.4454
1761227562188009000.png,0.4833,0.5204
1761227526122211000.png,0.4870,0.4481
1761227597953789000.png,0.4833,0.4454
1761227647019232000.png,0.4917,0.4454
1761227553754874000.png,0.4792,0.5259
1761227618419937000.png,0.4844,0.4759
1761227508889319000.png,0.4885,0.4444
1761227579087603000.png,0.4807,0.4602
1761227507922649000.png,0.4880,0.4426
1761227631752954000.png,0.4849,0.4426
1761227593387694000.png,0.4854,0.4426
1761227665885432000.png,0.4875,0.4435
1761227549188306000.png,0.4823,0.4491
1761227514755823000.png,0.4891,0.4454
1761227619719906000.png,0.4844,0.4704
1761227518322423000.png,0.4896,0.4454
1761227513122555000.png,0.4896,0.4435
1761227591787259000.png,0.4828,0.4444
1761227545288421000.png,0.4849,0.4583
1761227540755176000.png,0.4818,0.4472
1761227622319849000.png,0.4859,0.4565
1761227553421562000.png,0.4797,0.5074
1761227662618836000.png,0.4859,0.4454
1761227542688467000.png,0.4724,0.4463
1761227556021464000.png,0.4823,0.5148
1761227532955393000.png,0.4938,0.4556
1761227534888656000.png,0.4865,0.4472
1761227666852058000.png,0.4740,0.4444
1761227577787602000.png,0.4823,0.4722
1761227647352489000.png,0.4609,0.4500
1761227511822428000.png,0.4896,0.4435
1761227621353221000.png,0.4849,0.4620
1761227510189293000.png,0.4885,0.4426
1761227611919952000.png,0.4839,0.5444
1761227599253754000.png,0.4932,0.4620
1761227580387544000.png,0.4745,0.4583
1761227609320147000.png,0.4839,0.5667
1761227646385916000.png,0.4958,0.4472
1761227569021175000.png,0.4724,0.5324
1761227595987176000.png,0.4891,0.4454
1761228854688968000.png,0.5245,0.4472
1761228863488751000.png,0.5120,0.4944
1761228820989828000.png,0.5193,0.4444
1761228891954687000.png,0.5234,0.4593
1761228841055986000.png,0.5146,0.4528
1761228937686858000.png,0.5161,0.4657
1761228938086853000.png,0.5167,0.4676
1761228918820662000.png,0.5172,0.4657
1761228883954864000.png,0.5391,0.5000
1761228951719857000.png,0.5224,0.5157
1761228836256124000.png,0.5141,0.4472
1761228861888797000.png,0.5130,0.4824
1761228978552484000.png,0.5000,0.4500
1761228843055942000.png,0.5182,0.4463
1761228905587652000.png,0.5068,0.4500
1761228878721705000.png,0.5125,0.5315
1761228928453761000.png,0.5260,0.4583
1761228953719803000.png,0.5203,0.5130
1761228828222975000.png,0.5266,0.4463
1761228905187694000.png,0.5141,0.4491
1761228869121955000.png,0.5130,0.4759
1761228849055760000.png,0.5099,0.4509
1761228970152661000.png,0.5266,0.4500
1761228895987859000.png,0.5182,0.4444
1761228946486624000.png,0.5167,0.4759
1761228833822848000.png,0.5104,0.4491
1761228886754812000.png,0.5062,0.4907
1761228950086557000.png,0.5089,0.5148
1761228845055866000.png,0.5333,0.4583
1761228966952763000.png,0.5349,0.4519
1761228936053566000.png,0.5146,0.4778
1761228857488913000.png,0.5130,0.4444
1761228814989954000.png,0.4969,0.4481
1761228903187724000.png,0.5250,0.4500
1761228943686685000.png,0.5177,0.4583
1761228906787639000.png,0.5214,0.4500
1761228933253627000.png,0.5146,0.4769
1761228944486685000.png,0.5177,0.4556
1761228918020704000.png,0.5172,0.4676
1761228856288947000.png,0.5172,0.4463
1761228833022845000.png,0.5240,0.4481
1761228869921947000.png,0.5125,0.4769
1761228789723856000.png,0.5167,0.4657
1761228928053796000.png,0.5161,0.4611
1761228959719633000.png,0.5130,0.4759
1761228846255854000.png,0.5146,0.4491
1761228787723855000.png,0.5172,0.4685
1761228926853788000.png,0.5161,0.4583
1761228790923932000.png,0.5172,0.4657
1761228944086696000.png,0.5167,0.4583
1761228862288767000.png,0.5135,0.4815
1761228984585654000.png,0.5109,0.4750
1761228860288846000.png,0.5104,0.4741
1761228927653731000.png,0.5021,0.4611
1761228794957104000.png,0.5161,0.4639
1761228947286627000.png,0.5156,0.4926
1761228893987962000.png,0.4969,0.4509
1761228829022942000.png,0.5167,0.4472
1761228899187844000.png,0.5344,0.4519
1761228801356975000.png,0.5208,0.4722
1761228877121703000.png,0.5125,0.5296
1761228802556950000.png,0.5130,0.4528
1761228977752489000.png,0.5344,0.4556
1761228879954975000.png,0.5078,0.5269
1761228866721967000.png,0.5135,0.4843
1761228975752684000.png,0.5276,0.4491
1761228859088844000.png,0.5130,0.4583
1761228831422899000.png,0.4990,0.4509
1761228948486588000.png,0.5156,0.5009
1761228972552621000.png,0.5380,0.4546
1761228811790068000.png,0.5135,0.4444
1761228876321734000.png,0.5104,0.5296
1761228891154696000.png,0.5214,0.4565
1761228808590134000.png,0.4974,0.4500
1761228916420676000.png,0.5172,0.4602
1761228861088825000.png,0.5141,0.4806
1761228867921962000.png,0.5130,0.4796
1761228939686792000.png,0.5172,0.4528
1761228863888721000.png,0.5120,0.4926
1761228790123944000.png,0.5156,0.4593
1761228922453907000.png,0.5177,0.4694
1761228923253878000.png,0.5156,0.4667
1761228816189886000.png,0.5151,0.4454
1761228948886579000.png,0.5161,0.5102
1761228964519469000.png,0.5286,0.4472
1761228843855914000.png,0.5094,0.4481
1761228845455882000.png,0.5182,0.4491
1761228831822892000.png,0.5042,0.4472
1761228960519596000.png,0.5208,0.4759
1761228814189994000.png,0.5396,0.4630
1761228910820877000.png,0.5161,0.4435
1761228810990057000.png,0.5281,0.4491
1761228855888928000.png,0.5250,0.4472
1761228820589818000.png,0.5302,0.4463
1761228825823034000.png,0.5135,0.4444
1761228837056089000.png,0.5188,0.4463
1761228890754696000.png,0.5021,0.4630
1761228865122020000.png,0.5120,0.4880
1761228935253586000.png,0.5156,0.4796
1761228932053674000.png,0.5073,0.4657
1761228901987750000.png,0.5141,0.4463
1761228970552684000.png,0.5198,0.4463
1761228786090699000.png,0.5172,0.4648
1761228954119783000.png,0.5135,0.5130
1761228952119848000.png,0.5156,0.5130
1761228978952413000.png,0.5052,0.4463
1761228943286723000.png,0.5146,0.4583
1761228799357041000.png,0.4979,0.5019
1761228898787864000.png,0.5255,0.4519
1761228849455760000.png,0.5099,0.4500
1761228938886769000.png,0.5156,0.4583
1761228958919638000.png,0.5177,0.4815
1761228924453879000.png,0.5146,0.4639
1761228900387854000.png,0.5203,0.4519
1761228970952668000.png,0.5125,0.4481
1761228803356932000.png,0.5229,0.4472
1761228979785798000.png,0.5161,0.4444
1761228924853786000.png,0.5172,0.4565
1761228917220728000.png,0.5177,0.4657
1761228796157109000.png,0.5161,0.4648
1761228875921743000.png,0.5115,0.5343
1761228791323913000.png,0.5167,0.4648
1761228942086750000.png,0.5151,0.4648
1761228812190025000.png,0.5292,0.4472
1761228908820918000.png,0.5250,0.4528
1761228919620688000.png,0.5167,0.4620
1761228952919820000.png,0.5120,0.5130
1761228912820868000.png,0.5203,0.4444
1761228835422774000.png,0.5130,0.4481
1761228927253732000.png,0.5156,0.4565
1761228815389954000.png,0.5260,0.4481
1761228881154963000.png,0.5208,0.5102
1761228858688847000.png,0.5068,0.4556
1761228865522035000.png,0.5115,0.4917
1761228920420610000.png,0.5177,0.4630
1761228982185750000.png,0.5078,0.4648
1761228821789826000.png,0.5151,0.4454
1761228971352680000.png,0.5302,0.4481
1761228833422842000.png,0.5182,0.4500
1761228894387956000.png,0.5177,0.4444
1761228888754753000.png,0.5146,0.4769
1761228963719537000.png,0.5042,0.4463
1761228926053805000.png,0.5198,0.4528
1761228842655932000.png,0.4958,0.4546
1761228913620772000.png,0.5177,0.4444
1761228848255805000.png,0.5198,0.4463
1761228895587942000.png,0.5260,0.4491
1761228866321993000.png,0.5109,0.4907
1761228907620959000.png,0.5151,0.4463
1761228885954800000.png,0.5214,0.4917
1761228895187942000.png,0.5156,0.4407
1761228828622975000.png,0.5302,0.4519
1761228879555008000.png,0.5120,0.5231
1761228977352521000.png,0.5120,0.4481
1761228945286675000.png,0.5146,0.4593
1761228925253841000.png,0.5172,0.4574
1761228961719570000.png,0.4901,0.4583
1761228936886859000.png,0.5167,0.4722
1761228882354927000.png,0.5323,0.5093
1761228893154661000.png,0.5156,0.4463
1761228955319807000.png,0.5135,0.5185
1761228935653586000.png,0.5172,0.4722
1761228942886713000.png,0.5167,0.4583
1761228896787908000.png,0.5141,0.4472
1761228914820788000.png,0.5156,0.4519
1761228815789966000.png,0.5474,0.4648
1761228972152634000.png,0.5026,0.4491
1761228899987838000.png,0.5083,0.4481
1761228917620723000.png,0.5172,0.4620
1761228835822792000.png,0.5005,0.4528
1761228862688762000.png,0.5125,0.4880
1761228933653604000.png,0.5135,0.4759
1761228796957057000.png,0.5026,0.4667
1761228919220603000.png,0.5177,0.4685
1761228807356836000.png,0.5172,0.4444
1761228916820709000.png,0.5177,0.4593
1761228847455815000.png,0.5005,0.4500
1761228980585753000.png,0.5099,0.4444
1761228942486765000.png,0.5177,0.4556
1761228967752769000.png,0.4927,0.4537
1761228916020739000.png,0.5182,0.4602
1761228877921705000.png,0.5120,0.5269
1761228912420772000.png,0.5167,0.4435
1761228868721962000.png,0.5130,0.4769
1761228951319846000.png,0.5125,0.5102
1761228811390053000.png,0.5214,0.4472
1761228908021774000.png,0.5151,0.4509
1761228883154891000.png,0.4995,0.5056
1761228856688900000.png,0.5083,0.4491
1761228807790185000.png,0.5214,0.4454
1761228840256029000.png,0.5125,0.4481
1761228801756964000.png,0.5224,0.4509
1761228960686265000.png,0.5255,0.4769
1761228871721873000.png,0.5115,0.5009
1761228873655108000.png,0.5078,0.5343
1761228861588797000.png,0.5135,0.4824
1761228852722348000.png,0.5370,0.4565
1761228931220440000.png,0.5354,0.4583
1761228872888513000.png,0.5109,0.5250
